Bn,COY,Village,Mohalla,House No,Name,Relation,Sex,Age,Occupation,Mob No,GR,Property,Floor,Colour,No of Rooms,Perimeter Fence,Cowshed,Entry points,LAT/LONG
78 BN,B COY,Aurangabad,Somsarovar,Z-359,Conlan,Husband,F,33,Teacher,9213840438,,1 kunal,Single,Blue,4,Y,N,2,28.679079/77.070045
78 BN,B COY,Aurangabad,Somsarovar,Z-359,Curtis,Wife,F,45,Engineer,9213840439,,1 kunal,Single,Green,3,Y,Y,2,28.679079/77.070046
78 BN,B COY,Aurangabad,Somsarovar,Z-361,Dawson,Husband,F,12,Painter,9213840440,,1 kunal,Single,Lavender,3,Y,N,2,28.679079/77.070047
78 BN,B COY,Aurangabad,Somsarovar,Z-361,Dominik,Wife,M,45,Call Centre,9213840441,,1 kunal,Single,Cherry,5,Y,Y,2,28.679079/77.070048
78 BN,B COY,Aurangabad,Somsarovar,Z-363,Eddie,Husband,M,23,Air hostess,9213840442,,1 kunal,Single,Light green,3,N,Y,3,28.679079/77.070049
78 BN,B COY,Aurangabad,Somsarovar,Z-363,Greyson,Wife,M,67,Pilot,9213840443,,1 kunal,Single,Red,4,N,Y,1,28.679079/77.070050
78 BN,B COY,Aurangabad,Somsarovar,Z-363,Jaxx,Daughter,F,23,Scientist,9213840444,,1 kunal,Single,Pink,4,N,Y,2,28.679079/77.070051
78 BN,B COY,Aurangabad,Somnath,Z-366,Kobi,Husband,M,56,Attender,9213840445,,1 kunal,Single,Purple,2,N,Y,2,28.679079/77.070052
78 BN,B COY,Aurangabad,Somnath,Z-366,Leyton,Wife,F,24,Buisnessman,9213840446,,1 kunal,Single,White,4,N,Y,1,28.679079/77.070053
78 BN,B COY,Aurangabad,Somnath,Z-368,Nairn,Husband,M,56,Technician,9213840447,,1 kunal,Single,Blue,5,Y,N,2,28.679079/77.070054
78 BN,B COY,Aurangabad,Somnath,Z-368,Nicolas,Wife,F,32,Shopkeeper,9213840448,,1 kunal,Single,Green,2,N,N,2,28.679079/77.070055
78 BN,B COY,Aurangabad,Somnath,Z-370,Ralph,Husband,M,67,Doctor,9213840449,,1 kunal,Single,Lavender,3,N,N,1,28.679079/77.070056
78 BN,B COY,Aurangabad,Somnath,Z-370,Seth,Wife,F,89,Teacher,9213840450,,1 kunal,Single,Cherry,5,Y,N,2,28.679079/77.070057
78 BN,B COY,Aurangabad,Somnath,Z-370,Shaun,Daughter,F,96,Engineer,9213840451,,1 kunal,Single,Light green,2,N,N,2,28.679079/77.070058
78 BN,B COY,Phaltan,Somsath,Z-373,Tobias,Husband,F,49,Painter,9213840452,,1 kunal,Single,Red,4,N,Y,2,28.679079/77.070059
78 BN,B COY,Phaltan,Somsath,Z-373,Victor,Wife,M,60,Call Centre,9213840453,,2 kunal,Single,Pink,4,N,N,2,28.679079/77.070060
78 BN,B COY,Phaltan,Somsath,Z-375,Wiktor,Husband,F,23,Air hostess,9213840454,,2 kunal,Single,Purple,3,N,N,2,28.679079/77.070061
78 BN,B COY,Phaltan,Somsath,Z-375,Ahmed,Wife,M,43,Pilot,9213840455,,2 kunal,Single,White,5,Y,Y,2,28.679079/77.070062
78 BN,B COY,Phaltan,Somsath,Z-377,Albert,Husband,M,75,Scientist,9213840456,,2 kunal,Single,Blue,2,Y,N,2,28.679079/77.070063
78 BN,B COY,Phaltan,Somsath,Z-377,Archibald,Wife,F,64,Attender,9213840457,,2 kunal,Single,Green,5,N,N,2,28.679079/77.070064
78 BN,B COY,Phaltan,Somsath,Z-377,Aron,Daughter,F,86,Buisnessman,9213840458,,2 kunal,Single,Lavender,5,Y,N,1,28.679079/77.070065
78 BN,B COY,Phaltan,Murg,Z-380,Azaan,Father,M,62,Technician,9213840459,,2 kunal,Single,Cherry,5,N,N,2,28.679079/77.070066
78 BN,B COY,Phaltan,Murg,Z-380,Bear,Mother,F,98,Shopkeeper,9213840460,,2 kunal,Single,Light green,2,Y,Y,1,28.679079/77.070067
78 BN,B COY,Phaltan,Murg,Z-382,Beau,Husband,F,21,Doctor,9213840461,,1 kunal,Single,Red,5,Y,Y,2,28.679079/77.070068
78 BN,B COY,Phaltan,Murg,Z-382,Bodhi,Wife,M,33,Teacher,9213840462,,1 kunal,Single,Pink,6,Y,N,2,28.679079/77.070069
78 BN,B COY,Phaltan,Murg,Z-384,Brady,Husband,F,45,Engineer,9213840463,,1 kunal,Single,Purple,3,Y,Y,2,28.679079/77.070070
78 BN,B COY,Phaltan,Murg,Z-384,Brandon,Wife,M,12,Painter,9213840464,,1 kunal,Single,White,4,Y,N,1,28.679079/77.070071
78 BN,B COY,Phaltan,Murg,Z-384,Cairn,Daughter,F,45,Call Centre,9213840465,,1 kunal,Single,Blue,3,Y,Y,1,28.679079/77.070072
78 BN,B COY,Phaltan,Burj Khalifa,Z-387,Chester,Husband,M,23,Air hostess,9213840466,,1 kunal,Single,Green,4,N,Y,1,28.679079/77.070073
78 BN,B COY,Phaltan,Burj Khalifa,Z-387,Clark,Wife,F,67,Pilot,9213840467,,2 kunal,Single,Lavender,4,N,Y,2,28.679079/77.070074
78 BN,B COY,Phaltan,Burj Khalifa,Z-389,Coen,Husband,M,23,Scientist,9213840468,,2 kunal,Single,Cherry,2,N,Y,1,28.679079/77.070075
78 BN,B COY,Phaltan,Burj Khalifa,Z-389,Damian,Wife,M,56,Attender,9213840469,,2 kunal,Single,Light green,4,N,Y,2,28.679079/77.070076
78 BN,B COY,Phaltan,Burj Khalifa,Z-391,Donald,Mother,M,24,Buisnessman,9213840470,,2 kunal,Single,Red,2,N,Y,1,28.679079/77.070077
78 BN,B COY,Phaltan,Burj Khalifa,Z-391,Drew,Husband,F,56,Technician,9213840471,,2 kunal,Single,Pink,3,Y,N,2,28.679079/77.070078
78 BN,B COY,Phaltan,Burj Khalifa,Z-391,Fabian,Wife,F,32,Shopkeeper,9213840472,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.070079
78 BN,B COY,Phaltan,Ramnath,Z-394,Fletcher,Husband,F,67,Doctor,9213840473,,1 kunal,Single,White,5,N,N,2,28.679079/77.070080
78 BN,B COY,Phaltan,Ramnath,Z-394,Hugh,Wife,M,89,Teacher,9213840474,,1 kunal,Single,Blue,3,Y,N,1,28.679079/77.070081
78 BN,B COY,Phaltan,Ramnath,Z-396,Jan,Husband ,F,96,Engineer,9213840475,,1 kunal,Single,Green,3,N,N,2,28.679079/77.070082
78 BN,B COY,Phaltan,Ramnath,Z-396,Joe,Wife,M,49,Painter,9213840476,,1 kunal,Single,Lavender,5,N,Y,2,28.679079/77.070083
78 BN,B COY,Phaltan,Ramnath,Z-398,Kalvin,Husband ,F,60,Call Centre,9213840477,,1 kunal,Single,Cherry,4,N,N,2,28.679079/77.070084
78 BN,B COY,Phaltan,Ramnath,Z-398,Karter,Wife,M,23,Air hostess,9213840478,,1 kunal,Single,Light green,2,N,N,3,28.679079/77.070085
78 BN,B COY,Phaltan,Ramnath,Z-398,Kayson,Son,F,43,Pilot,9213840479,,1 kunal,Single,Red,3,Y,Y,2,28.679079/77.070086
78 BN,B COY,Phaltan,Kamnath,Z-401,Leonard,Husband,M,75,Scientist,9213840480,,1 kunal,Single,Pink,5,Y,N,1,28.679079/77.070087
78 BN,B COY,Phaltan,Kamnath,Z-401,Lyall,Wife,M,64,Attender,9213840481,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.070088
78 BN,B COY,Phaltan,Kamnath,Z-403,Mack,Husband,M,86,Buisnessman,9213840482,,1 kunal,Single,White,3,Y,N,2,28.679079/77.070089
78 BN,B COY,Phaltan,Kamnath,Z-403,Marley,Wife,F,62,Technician,9213840483,,1 kunal,Single,Blue,3,N,N,2,28.679079/77.070090
78 BN,B COY,Phaltan,Kamnath,Z-404,Marshall,Husband,F,98,Shopkeeper,9213840484,,1 kunal,Single,Green,5,Y,Y,2,28.679079/77.070091
78 BN,B COY,Phaltan,Kamnath,Z-404,Micah,Wife,F,21,Doctor,9213840485,,1 kunal,Single,Lavender,3,Y,Y,3,28.679079/77.070092
78 BN,B COY,Phaltan,Kamnath,Z-404,Muhammed,Son,M,33,Teacher,9213840486,,1 kunal,Single,Cherry,4,Y,N,1,28.679079/77.070093
78 BN,B COY,Nanded,Karthik,Z-408,Nikolas,Father,F,45,Engineer,9213840487,,1 kunal,Single,Light green,4,Y,Y,2,28.679079/77.070094
78 BN,B COY,Nanded,Karthik,Z-408,Philip,Mother,M,12,Painter,9213840488,,1 kunal,Single,Red,2,Y,N,2,28.679079/77.070095
78 BN,B COY,Nanded,Karthik,Z-408,Rafael,Husband,F,45,Call Centre,9213840489,,1 kunal,Single,Pink,4,Y,Y,1,28.679079/77.070096
78 BN,B COY,Nanded,Karthik,Z-408,Stefan,Wife,M,23,Air hostess,9213840490,,1 kunal,Single,Purple,5,N,Y,2,28.679079/77.070097
78 BN,B COY,Nanded,Karthik,Z-412,Stewart,Husband,F,67,Pilot,9213840491,,1 kunal,Single,White,2,N,Y,2,28.679079/77.070098
78 BN,B COY,Nanded,Karthik,Z-412,Torin,Wife,M,23,Scientist,9213840492,,2 kunal,Single,Blue,3,N,Y,1,28.679079/77.070099
78 BN,B COY,Nanded,Karthik,Z-412,Will,Daughter,M,56,Attender,9213840493,,2 kunal,Single,Green,5,N,Y,2,28.679079/77.070100
78 BN,B COY,Nanded,Saraswat,Z-415,Abdul,Father,F,24,Buisnessman,9213840494,,2 kunal,Single,Lavender,2,N,Y,2,28.679079/77.070101
78 BN,B COY,Nanded,Saraswat,Z-415,Ahmad,Mother,F,56,Technician,9213840495,,2 kunal,Single,Cherry,4,Y,N,2,28.679079/77.070102
78 BN,B COY,Nanded,Saraswat,Z-415,Amir,Husband,F,32,Shopkeeper,9213840496,,2 kunal,Single,Light green,4,N,N,2,28.679079/77.070103
78 BN,B COY,Nanded,Saraswat,Z-415,Ari,Wife,M,67,Doctor,9213840497,,2 kunal,Single,Red,3,N,N,2,28.679079/77.070104
78 BN,B COY,Nanded,Saraswat,Z-419,Blaine,Husband,M,89,Teacher,9213840498,,2 kunal,Single,Pink,5,Y,N,2,28.679079/77.070105
78 BN,B COY,Nanded,Saraswat,Z-419,Bryce,Wife,M,96,Engineer,9213840499,,2 kunal,Single,Purple,2,N,N,2,28.679079/77.070106
78 BN,B COY,Nanded,Saraswat,Z-419,Cade,Daughter,F,49,Painter,9213840500,,1 kunal,Single,White,5,N,Y,2,28.679079/77.070107
78 BN,B COY,Nanded,Saras nagar,Z-422,Casey,Husband,M,60,Call Centre,9213840501,,1 kunal,Single,Blue,5,N,N,1,28.679079/77.070108
78 BN,B COY,Nanded,Saras nagar,Z-422,Clayton,Wife,F,23,Air hostess,9213840502,,1 kunal,Single,Green,5,N,N,2,28.679079/77.070109
78 BN,B COY,Nanded,Saras nagar,Z-424,Denis,Husband,M,43,Pilot,9213840503,,1 kunal,Single,Lavender,2,Y,Y,1,28.679079/77.070110
78 BN,B COY,Nanded,Saras nagar,Z-424,Eesa,Wife,F,75,Scientist,9213840504,,1 kunal,Single,Cherry,5,Y,N,2,28.679079/77.070111
78 BN,B COY,Nanded,Saras nagar,Z-426,Eoin,Daughter,M,64,Attender,9213840505,,1 kunal,Single,Light green,6,N,N,2,28.679079/77.070112
78 BN,B COY,Nanded,Saras nagar,Z-426,Frank,Husband,F,86,Buisnessman,9213840506,,2 kunal,Single,Red,3,Y,N,2,28.679079/77.070113
78 BN,B COY,Nanded,Saras nagar,Z-426,Freddy,Wife,F,62,Technician,9213840507,,2 kunal,Single,Pink,4,N,N,1,28.679079/77.070114
78 BN,B COY,Nanded,Vastav,Z-429,Gary,Father,F,98,Shopkeeper,9213840508,,2 kunal,Single,Purple,3,Y,Y,1,28.679079/77.070115
78 BN,B COY,Nanded,Vastav,Z-429,Glen,Mother,M,21,Doctor,9213840509,,2 kunal,Single,White,4,Y,Y,1,28.679079/77.070116
78 BN,B COY,Nanded,Vastav,Z-429,Hamza,Husband,F,33,Teacher,9213840510,,2 kunal,Single,Blue,4,Y,N,2,28.679079/77.070117
78 BN,B COY,Nanded,Vastav,Z-429,Hassan,Wife,M,45,Engineer,9213840511,,1 kunal,Single,Green,2,Y,Y,1,28.679079/77.070118
78 BN,B COY,Nanded,Vastav,Z-433,Hector,Husband,M,12,Painter,9213840512,,1 kunal,Single,Lavender,4,Y,N,2,28.679079/77.070119
78 BN,B COY,Nanded,Vastav,Z-433,Ismaeel,Wife,F,45,Call Centre,9213840513,,1 kunal,Single,Cherry,2,Y,Y,1,28.679079/77.070120
78 BN,B COY,Nanded,Vastav,Z-433,Ivan,Daughter,F,23,Air hostess,9213840514,,1 kunal,Single,Light green,3,N,Y,2,28.679079/77.070121
78 BN,B COY,Nanded,Ashram,Z-436,Ivar,Father,M,67,Pilot,9213840515,,1 kunal,Single,Red,4,N,Y,2,28.679079/77.070122
78 BN,B COY,Nanded,Ashram,Z-436,Kenzie,Mother,F,23,Scientist,9213840516,,1 kunal,Single,Pink,5,N,Y,2,28.679079/77.070123
78 BN,B COY,Nanded,Ashram,Z-436,Killian,Husband,F,56,Attender,9213840517,,1 kunal,Single,Purple,3,N,Y,1,28.679079/77.070124
78 BN,B COY,Nanded,Ashram,Z-436,Koby,Wife,M,24,Buisnessman,9213840518,,1 kunal,Single,White,3,N,Y,2,28.679079/77.070125
78 BN,B COY,Nanded,Ashram,Z-440,Kole,Husband,F,56,Technician,9213840519,,1 kunal,Single,Blue,5,Y,N,2,28.679079/77.070126
78 BN,B COY,Nanded,Ashram,Z-440,Leighton,Wife,M,32,Shopkeeper,9213840520,,1 kunal,Single,Green,4,N,N,2,28.679079/77.070127
78 BN,B COY,Nanded,Ashram,Z-440,Matteo,Son,F,67,Doctor,9213840521,,1 kunal,Single,Lavender,2,N,N,3,28.679079/77.070128
78 BN,B COY,Nilgiri,Eagle,Z-443,Mikolaj,Father,M,89,Teacher,9213840522,,1 kunal,Single,Cherry,3,Y,N,2,28.679079/77.070129
78 BN,B COY,Nilgiri,Eagle,Z-443,Millar,Mother,F,96,Engineer,9213840523,,1 kunal,Single,Light green,5,N,N,1,28.679079/77.070130
78 BN,B COY,Nilgiri,Eagle,Z-443,Mitchell,Husband,M,49,Painter,9213840524,,1 kunal,Single,Red,4,N,Y,2,28.679079/77.070131
78 BN,B COY,Nilgiri,Eagle,Z-443,Nolan,Wife,M,60,Call Centre,9213840525,,1 kunal,Single,Pink,3,N,N,2,28.679079/77.070132
78 BN,B COY,Nilgiri,Eagle,Z-447,Rayyan,Husband,M,23,Air hostess,9213840526,,1 kunal,Single,Purple,3,N,N,2,28.679079/77.070133
78 BN,B COY,Nilgiri,Eagle,Z-447,Rogan,Wife,F,43,Pilot,9213840527,,1 kunal,Single,White,5,Y,Y,2,28.679079/77.070134
78 BN,B COY,Nilgiri,Eagle,Z-447,Saul,Daughter,F,75,Scientist,9213840528,,1 kunal,Single,Blue,3,Y,N,3,28.679079/77.070135
78 BN,B COY,Nilgiri,Bhind,Z-450,Syed,Father,F,64,Attender,9213840529,,1 kunal,Single,Green,4,N,N,1,28.679079/77.070136
78 BN,B COY,Nilgiri,Bhind,Z-450,Tate,Mother,M,86,Buisnessman,9213840530,,1 kunal,Single,Lavender,4,Y,N,2,28.679079/77.070137
78 BN,B COY,Nilgiri,Bhind,Z-450,Ace,Husband,F,62,Technician,9213840531,,2 kunal,Single,Cherry,2,N,N,2,28.679079/77.070138
78 BN,B COY,Nilgiri,Bhind,Z-450,Ajay,Wife,M,98,Shopkeeper,9213840532,,2 kunal,Single,Light green,4,Y,Y,1,28.679079/77.070139
78 BN,B COY,Nilgiri,Bhind,Z-454,Albi,Daughter,F,21,Doctor,9213840533,,2 kunal,Single,Red,5,Y,Y,2,28.679079/77.070140
78 BN,B COY,Nilgiri,Bhind,Z-454,Aydin,Husband,M,33,Teacher,9213840534,,2 kunal,Single,Pink,2,Y,N,2,28.679079/77.070141
78 BN,B COY,Nilgiri,Bhind,Z-454,Borys,Wife,F,45,Engineer,9213840535,,2 kunal,Single,Purple,3,Y,Y,1,28.679079/77.070142
78 BN,B COY,Nilgiri,Berlin,Z-457,Brayden,Father,M,12,Painter,9213840536,,2 kunal,Single,White,5,Y,N,2,28.679079/77.070143
78 BN,B COY,Nilgiri,Berlin,Z-457,Conan,Mother,M,45,Call Centre,9213840537,,2 kunal,Single,Blue,2,Y,Y,2,28.679079/77.070144
78 BN,B COY,Nilgiri,Berlin,Z-457,Cory,Husband,M,23,Air hostess,9213840538,,2 kunal,Single,Green,4,N,Y,2,28.679079/77.070145
78 BN,B COY,Nilgiri,Berlin,Z-457,Edan,Wife,F,67,Pilot,9213840539,,1 kunal,Single,Lavender,4,N,Y,2,28.679079/77.070146
78 BN,B COY,Nilgiri,Berlin,Z-461,Fynn,Husband,F,23,Scientist,9213840540,,1 kunal,Single,Cherry,3,N,Y,2,28.679079/77.070147
78 BN,B COY,Nilgiri,Berlin,Z-461,Gordon,Wife,F,56,Attender,9213840541,,1 kunal,Single,Light green,5,N,Y,2,28.679079/77.070148
78 BN,B COY,Nilgiri,Berlin,Z-461,Hughie,Daughter,M,24,Buisnessman,9213840542,,1 kunal,Single,Red,2,N,Y,2,28.679079/77.070149
78 BN,B COY,Nilgiri,Smile,Z-464,Ismail,Father,F,56,Technician,9213840543,,1 kunal,Single,Pink,5,Y,N,2,28.679079/77.070150
78 BN,B COY,Nilgiri,Smile,Z-464,Jaiden,Mother,M,32,Shopkeeper,9213840544,,1 kunal,Single,Purple,5,N,N,1,28.679079/77.070151
78 BN,B COY,Nilgiri,Smile,Z-464,Lenny,Husband,F,67,Doctor,9213840545,,2 kunal,Single,White,5,N,N,2,28.679079/77.070152
78 BN,B COY,Nilgiri,Smile,Z-464,Lockie,Wife,M,89,Teacher,9213840546,,2 kunal,Single,Blue,2,Y,N,1,28.679079/77.070153
78 BN,B COY,Nilgiri,Smile,Z-468,Loki,Husband,F,96,Engineer,9213840547,,2 kunal,Single,Green,5,N,N,2,28.679079/77.070154
78 BN,B COY,Nilgiri,Smile,Z-468,Mackenzie,Wife,M,49,Painter,9213840548,,2 kunal,Single,Lavender,6,N,Y,2,28.679079/77.070155
78 BN,B COY,Nilgiri,Smile,Z-468,Malachy,Daughter,M,60,Call Centre,9213840549,,2 kunal,Single,Cherry,3,N,N,2,28.679079/77.070156
78 BN,B COY,Nilgiri,Red,Z-471,Mohamed,Father,F,23,Air hostess,9213840550,,1 kunal,Single,Light green,4,N,N,1,28.679079/77.070157
78 BN,B COY,Nilgiri,Red,Z-471,Olivier,Mother,F,43,Pilot,9213840551,,1 kunal,Single,Red,3,Y,Y,1,28.679079/77.070158
78 BN,B COY,Nilgiri,Red,Z-471,Otto,Husband,F,75,Scientist,9213840552,,1 kunal,Single,Pink,4,Y,N,1,28.679079/77.070159
78 BN,B COY,Nilgiri,Red,Z-471,Ramsay,Wife,M,64,Attender,9213840553,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.070160
78 BN,B COY,Nilgiri,Red,Z-475,Rayan,Husband,M,86,Buisnessman,9213840554,,1 kunal,Single,White,2,Y,N,1,28.679079/77.070161
78 BN,B COY,Nilgiri,Red,Z-475,Remy,Wife,M,62,Technician,9213840555,,1 kunal,Single,Blue,4,N,N,2,28.679079/77.070162
78 BN,B COY,Nilgiri,Red,Z-475,Romeo,Son,F,98,Shopkeeper,9213840556,,1 kunal,Single,Green,2,Y,Y,1,28.679079/77.070163
78 BN,B COY,Agadgaon,Violet,Z-478,Sami,Father,M,21,Doctor,9213840557,,1 kunal,Single,Lavender,3,Y,Y,2,28.679079/77.070164
78 BN,B COY,Agadgaon,Violet,Z-478,Sandy,Mother,F,33,Teacher,9213840558,,1 kunal,Single,Cherry,4,Y,N,2,28.679079/77.070165
78 BN,B COY,Agadgaon,Violet,Z-478,Shae,Husband,M,45,Engineer,9213840559,,1 kunal,Single,Light green,5,Y,Y,2,28.679079/77.070166
78 BN,B COY,Agadgaon,Violet,Z-478,Shane,Wife,F,12,Painter,9213840560,,1 kunal,Single,Red,3,Y,N,1,28.679079/77.070167
78 BN,B COY,Agadgaon,Violet,Z-482,Stuart,Husband,M,45,Call Centre,9213840561,,1 kunal,Single,Pink,3,Y,Y,2,28.679079/77.070168
78 BN,B COY,Agadgaon,Violet,Z-482,Wyatt,Wife,F,23,Air hostess,9213840562,,1 kunal,Single,Purple,5,N,Y,2,28.679079/77.070169
78 BN,B COY,Agadgaon,Violet,Z-482,Zakariya,Son,F,67,Pilot,9213840563,,1 kunal,Single,White,4,N,Y,2,28.679079/77.070170
78 BN,B COY,Agadgaon,Sitara,Z-485,Alastair,Father,F,23,Scientist,9213840564,,1 kunal,Single,Blue,2,N,Y,3,28.679079/77.070171
78 BN,B COY,Agadgaon,Sitara,Z-485,Ally,Mother,M,56,Attender,9213840565,,1 kunal,Single,Green,3,N,Y,2,28.679079/77.070172
78 BN,B COY,Agadgaon,Sitara,Z-485,Anton,Husband,F,24,Buisnessman,9213840566,,1 kunal,Single,Lavender,5,N,Y,1,28.679079/77.070173
78 BN,B COY,Agadgaon,Sitara,Z-485,Avery,Wife,M,56,Technician,9213840567,,1 kunal,Single,Cherry,4,Y,N,2,28.679079/77.070174
78 BN,B COY,Agadgaon,Sitara,Z-489,Ayan,Husband,M,32,Shopkeeper,9213840568,,1 kunal,Single,Light green,3,N,N,2,28.679079/77.070175
78 BN,B COY,Agadgaon,Sitara,Z-489,Barclay,Wife,F,67,Doctor,9213840569,,1 kunal,Single,Red,3,N,N,2,28.679079/77.070176
78 BN,B COY,Agadgaon,Sitara,Z-489,Bjorn,Son,F,89,Teacher,9213840570,,2 kunal,Single,Pink,5,Y,N,2,28.679079/77.070177
78 BN,B COY,Agadgaon,Moon,Z-492,Cayden,Father,M,96,Engineer,9213840571,,2 kunal,Single,Purple,3,N,N,3,28.679079/77.070178
78 BN,B COY,Agadgaon,Moon,Z-492,Colt,Mother,F,49,Painter,9213840572,,2 kunal,Single,White,4,N,Y,1,28.679079/77.070179
78 BN,B COY,Agadgaon,Moon,Z-492,Corran,Husband,F,60,Call Centre,9213840573,,2 kunal,Single,Blue,4,N,N,2,28.679079/77.070180
78 BN,B COY,Agadgaon,Moon,Z-492,Dawid,Wife,M,23,Air hostess,9213840574,,2 kunal,Single,Green,2,N,N,2,28.679079/77.070181
78 BN,B COY,Agadgaon,Moon,Z-496,Emmanuel,Husband,F,43,Pilot,9213840575,,2 kunal,Single,Lavender,4,Y,Y,1,28.679079/77.070182
78 BN,B COY,Agadgaon,Moon,Z-496,Forrest,Wife,M,75,Scientist,9213840576,,2 kunal,Single,Cherry,5,Y,N,2,28.679079/77.070183
78 BN,B COY,Agadgaon,Moon,Z-496,Gavin,Daughter,F,64,Attender,9213840577,,2 kunal,Single,Light green,2,N,N,2,28.679079/77.070184
78 BN,B COY,Agadgaon,Star,Z-499,Grant,Husband,M,86,Buisnessman,9213840578,,1 kunal,Single,Red,3,Y,N,1,28.679079/77.070185
78 BN,B COY,Agadgaon,Star,Z-499,Hubert,Wife,F,62,Technician,9213840579,,1 kunal,Single,Pink,5,N,N,2,28.679079/77.070186
78 BN,B COY,Agadgaon,Star,Z-501,Ignacy,Husband,M,98,Shopkeeper,9213840580,,1 kunal,Single,Purple,2,Y,Y,2,28.679079/77.070187
78 BN,B COY,Agadgaon,Star,Z-501,Jaden,Wife,M,21,Doctor,9213840581,,1 kunal,Single,White,4,Y,Y,2,28.679079/77.070188
78 BN,B COY,Agadgaon,Star,Z-503,Jakob,Husband,M,33,Teacher,9213840582,,1 kunal,Single,Blue,4,Y,N,2,28.679079/77.070189
78 BN,B COY,Agadgaon,Star,Z-503,Johnny,Wife,F,45,Engineer,9213840583,,1 kunal,Single,Green,3,Y,Y,2,28.679079/77.070190
78 BN,B COY,Agadgaon,Star,Z-503,Justin,Daughter,F,12,Painter,9213840584,,2 kunal,Single,Lavender,5,Y,N,2,28.679079/77.070191
78 BN,B COY,Agadgaon,Asteroid,Z-506,Kane,Husband,F,45,Call Centre,9213840585,,2 kunal,Single,Cherry,2,Y,Y,2,28.679079/77.070192
78 BN,B COY,Agadgaon,Asteroid,Z-506,Kilian,Wife,M,23,Air hostess,9213840586,,2 kunal,Single,Light green,5,N,Y,2,28.679079/77.070193
78 BN,B COY,Agadgaon,Asteroid,Z-508,Kodi,Husband,F,67,Pilot,9213840587,,2 kunal,Single,Red,5,N,Y,1,28.679079/77.070194
78 BN,B COY,Agadgaon,Asteroid,Z-508,Korey,Wife,M,23,Scientist,9213840588,,2 kunal,Single,Pink,5,N,Y,2,28.679079/77.070195
78 BN,B COY,Agadgaon,Asteroid,Z-510,Kylo,Husband,F,56,Attender,9213840589,,1 kunal,Single,Purple,2,N,Y,1,28.679079/77.070196
78 BN,B COY,Agadgaon,Asteroid,Z-510,Kyran,Wife,M,24,Buisnessman,9213840590,,1 kunal,Single,White,5,N,Y,2,28.679079/77.070197
78 BN,B COY,Agadgaon,Asteroid,Z-510,Lachlann,Daughter,F,56,Technician,9213840591,,1 kunal,Single,Blue,6,Y,N,2,28.679079/77.070198
78 BN,B COY,Planet,Saturn,Z-513,Maksymilian,Husband,M,32,Shopkeeper,9213840592,,1 kunal,Single,Green,3,N,N,2,28.679079/77.070199
78 BN,B COY,Planet,Saturn,Z-513,Marc,Wife,M,67,Doctor,9213840593,,1 kunal,Single,Lavender,4,N,N,1,28.679079/77.070200
78 BN,B COY,Planet,Saturn,Z-515,Maximus,Husband,M,89,Teacher,9213840594,,1 kunal,Single,Cherry,3,Y,N,1,28.679079/77.070201
78 BN,B COY,Planet,Saturn,Z-515,Niven,Wife,F,96,Engineer,9213840595,,1 kunal,Single,Light green,4,N,N,1,28.679079/77.070202
78 BN,B COY,Planet,Saturn,Z-518,Noel,Husband,F,49,Painter,9213840596,,1 kunal,Single,Red,4,N,Y,2,28.679079/77.070203
78 BN,B COY,Planet,Saturn,Z-518,Odhran,Wife,F,60,Call Centre,9213840597,,1 kunal,Single,Pink,2,N,N,1,28.679079/77.070204
78 BN,B COY,Planet,Saturn,Z-518,Oisin,Daughter,M,23,Air hostess,9213840598,,1 kunal,Single,Purple,4,N,N,2,28.679079/77.070205
78 BN,B COY,Planet,Mercury,Z-520,Ralphie,Husband,F,43,Pilot,9213840599,,1 kunal,Single,White,2,Y,Y,1,28.679079/77.070206
78 BN,B COY,Planet,Mercury,Z-520,Ritchie,Wife,M,75,Scientist,9213840600,,1 kunal,Single,Blue,3,Y,N,2,28.679079/77.070207
78 BN,B COY,Planet,Mercury,Z-522,Roan,Husband,F,64,Attender,9213840601,,1 kunal,Single,Green,4,N,N,2,28.679079/77.070208
78 BN,B COY,Planet,Mercury,Z-522,Roddy,Wife,M,86,Buisnessman,9213840602,,1 kunal,Single,Lavender,5,Y,N,2,28.679079/77.070209
78 BN,B COY,Planet,Mercury,Z-524,Rueben,Husband,F,62,Technician,9213840603,,1 kunal,Single,Cherry,3,N,N,1,28.679079/77.070210
78 BN,B COY,Planet,Mercury,Z-524,Rupert,Wife,M,98,Shopkeeper,9213840604,,1 kunal,Single,Light green,3,Y,Y,2,28.679079/77.070211
78 BN,B COY,Planet,Mercury,Z-524,Ryley,Daughter,M,21,Doctor,9213840605,,1 kunal,Single,Red,5,Y,Y,2,28.679079/77.070212
78 BN,B COY,Planet,Venus,Z-527,Santiago,Husband,F,33,Teacher,9213840606,,1 kunal,Single,Pink,4,Y,N,2,28.679079/77.070213
78 BN,B COY,Planet,Venus,Z-527,Seamus,Wife,F,45,Engineer,9213840607,,1 kunal,Single,Purple,2,Y,Y,3,28.679079/77.070214
78 BN,B COY,Planet,Venus,Z-529,Simon,Husband,F,12,Painter,9213840608,,1 kunal,Single,White,3,Y,N,2,28.679079/77.070215
